X,Y,month,day,ISI,temp,RH,wind,area,BUI,weekend
7,5,3,4,5.1,8.2,51,6.7,0.0,30.921902377972465,0
7,4,10,1,6.7,18.0,33,0.9,0.0,62.52940865892291,0
7,4,10,5,6.7,14.6,33,1.3,0.0,75.40671983922628,1
8,6,8,6,14.7,22.2,29,5.4,0.0,118.72057040998216,1
8,6,8,0,8.5,24.1,27,3.1,0.0,122.75221843003416,0
8,6,9,1,7.0,13.1,63,5.4,0.0,176.49766320657255,0
7,5,9,5,7.1,22.8,40,4.0,0.0,133.84890050076203,1
7,5,9,5,7.1,17.8,51,7.2,0.0,133.84890050076203,1
6,5,9,0,7.0,21.3,42,2.2,0.0,173.20817751184242,0
6,5,9,2,9.2,26.4,21,4.5,0.0,180.58126543060465,0
6,5,9,4,13.9,22.9,44,5.4,0.0,188.96368919298905,0
5,5,3,5,7.8,15.1,27,5.4,0.0,35.74186677229008,1
8,5,10,0,3.0,16.7,47,4.9,0.0,58.39120879120879,0
6,4,3,2,6.3,15.9,35,4.0,0.0,28.108431163287083,0
6,4,4,5,5.1,9.3,44,4.5,0.0,32.132125603864736,1
6,4,9,1,7.0,18.3,40,2.7,0.0,176.49766320657255,0
5,4,9,0,9.2,19.1,38,2.7,0.0,123.5295203954158,0
7,4,8,5,6.2,19.5,43,5.8,0.0,146.3147609402811,1
7,4,8,6,10.6,16.3,60,5.4,0.0,178.8998537706288,1
7,4,9,4,12.2,19.0,34,5.8,0.0,163.60882887561672,0
7,4,9,0,7.0,19.4,48,1.3,0.0,173.20817751184242,0
6,3,9,5,8.1,30.2,24,2.7,0.0,193.36631947644943,1
6,3,9,6,8.1,22.8,39,3.6,0.0,197.44970731043247,1
6,3,9,4,15.9,25.4,24,3.6,0.0,130.19110546378653,0
6,3,9,0,7.1,11.2,78,7.6,0.0,138.74562486693634,0
6,3,9,4,5.8,20.6,37,1.8,0.0,111.83011179842235,0
6,3,9,6,7.8,17.7,39,3.6,0.0,119.70347183952386,1
6,3,9,0,9.2,21.2,32,2.7,0.0,123.5295203954158,0
6,3,9,1,6.3,18.2,62,4.5,0.0,126.45987445678416,0
6,3,10,1,6.7,21.7,24,4.5,0.0,62.52940865892291,0
7,4,10,4,8.7,11.3,60,5.4,0.0,72.04908755643162,0
7,3,10,5,6.7,17.8,27,4.0,0.0,75.40671983922628,1
4,4,3,1,3.8,14.1,43,2.7,0.0,26.35297686765264,0
4,4,7,1,1.5,23.3,37,3.1,0.0,85.76619065997686,0
4,4,8,5,8.9,18.4,42,6.7,0.0,139.61562698366902,1
4,4,8,1,17.0,16.6,54,5.4,0.0,152.70671678378818,0
4,4,9,5,7.1,19.6,48,2.7,0.0,133.84890050076203,1
4,4,9,2,6.2,12.9,74,4.9,0.0,129.35899040246036,0
5,6,9,2,15.9,25.9,24,4.0,0.0,130.19110546378653,0
5,6,9,0,7.0,14.7,70,3.6,0.0,173.20817751184242,0
6,6,7,0,11.0,23.0,36,3.1,0.0,92.18297836799465,0
4,4,3,0,4.1,11.8,35,1.8,0.0,24.85062274005625,0
4,4,3,0,5.0,11.0,46,5.8,0.0,52.048006210173,0
4,4,9,3,9.2,20.8,17,1.3,0.0,184.5300791305177,0
4,3,8,6,6.3,21.5,34,2.2,0.0,142.84826175869122,1
4,3,8,2,9.6,20.4,42,4.9,0.0,156.06891964381504,0
4,3,8,3,6.3,17.6,45,3.6,0.0,159.62534185101103,0
4,3,9,3,9.2,27.7,24,2.2,0.0,184.5300791305177,0
4,3,9,1,6.3,17.8,63,4.9,0.0,126.45987445678416,0
4,3,10,6,8.8,13.8,50,2.7,0.0,79.6205680341563,1
2,2,2,0,2.1,13.9,40,5.4,0.0,11.046288209606988,0
2,2,2,4,5.3,12.3,51,0.9,0.0,14.93684210526316,0
2,2,3,6,9.6,11.5,39,5.8,0.0,51.15059166450014,1
2,2,3,6,9.6,5.5,59,6.3,0.0,51.15059166450014,1
2,2,8,3,7.7,18.8,35,4.9,0.0,107.30695579140263,0
2,2,8,6,6.3,20.8,33,2.7,0.0,142.84826175869122,1
2,2,8,0,5.8,23.1,31,3.1,0.0,147.0208742194469,0
2,2,8,3,6.3,18.6,44,4.5,0.0,159.62534185101103,0
